Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Mutton Curry (Kerala style),Kerala (General),Non-Veg,Non-Veg,Spicy coconut-based mutton curry,"Coconut, Mutton",1 cup (~200g),360,24,8,26,,,,,,,,"Coconut, Mutton, Salt, Oil, Mixed Spices","Coconut (Shita, cooling, pacifies Pitta); Mutton (Guru, Ushna, heavy and warming); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Mutton Stew (Kerala Christmas style),Kerala (Central Kerala),Non-Veg,Non-Veg,Mild coconut milk mutton stew with potato,"Potato, Coconut, Milk, Mutton",1 cup (~200g),290,20,10,18,,,,,,,,"Potato, Coconut, Milk, Mutton, Salt, Oil, Mixed Spices","Potato (Guru, Vata aggravating in excess); Coconut (Shita, cooling, pacifies Pitta); Milk (Guru, Shita, cooling and building, balances Pitta); Mutton (Guru, Ushna, heavy and warming); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Naadan Kozhi Varuthathu,Kerala (Central Kerala),Non-Veg,Non-Veg,Dry roasted spicy country chicken fry,Chicken,1 cup (~200g),320,26,6,22,,,,,,,,"Chicken, Salt, Oil, Mixed Spices","Chicken (Guru, Ushna, builds strength); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Naranga Achar (Lime Pickle),Kerala (General),Pickle,Veg,Tangy fermented lime pickle,Lime,1 tbsp (~15g),30,0.3,6,0.5,,,,,,,,"Lime, Oil, Mustard Seeds, Turmeric, Red Chilli Powder, Salt","Lime (Amla, alkalising, stimulates Agni); Oil (Snigdha, unctuous, balances Vata); Mustard Seeds (Ushna, stimulates digestion); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes)"
Neyyappam,Kerala (General),Sweet/Snack,Veg,Deep-fried rice-jaggery sweet dumpling in ghee,"Rice, Ghee, Jaggery",3 pcs (~90g),270,3,38,12,,,,,,,,"Rice, Ghee, Jaggery, Sugar, Milk/Khoya, Cardamom","Rice (Laghu, easy to digest, balances Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Njandu Curry (Crab Curry),Kerala (Central Kerala),Non-Veg,Non-Veg,Crab in spicy coconut based curry,Coconut,1 cup (~200g),250,18,8,16,,,,,,,,"Coconut, Salt, Oil, Mixed Spices","Coconut (Shita, cooling, pacifies Pitta); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Olan,Kerala (Travancore),Curry,Veg,Ash gourd-coconut milk mild curry with black-eyed peas,"Green Peas, Coconut, Milk",1 cup (~200g),140,5,16,7,,,,,,,,"Green Peas, Coconut, Milk, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Green Peas (Balances doshas when eaten fresh and in moderation); Coconut (Shita, cooling, pacifies Pitta); Milk (Guru, Shita, cooling and building, balances Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Palada Payasam,Kerala (General),Sweet,Veg,Rice ada-milk sweet pudding,"Rice, Milk",1 cup (~150g),270,6,36,11,,,,,,,,"Rice, Milk, Sugar, Ghee, Milk/Khoya, Cardamom","Rice (Laghu, easy to digest, balances Kapha); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Parippu Payasam,Kerala (General),Sweet,Veg,Moong dal-jaggery-coconut milk payasam,"Moong Dal, Coconut, Milk, Jaggery",1 cup (~150g),260,6,34,11,,,,,,,,"Moong Dal, Coconut, Milk, Jaggery, Sugar, Ghee, Milk/Khoya, Cardamom","Moong Dal (Laghu, protein-rich, balances Kapha); Coconut (Shita, cooling, pacifies Pitta); Milk (Guru, Shita, cooling and building, balances Pitta); Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Pathiri,Kerala (Malabar),Breakfast/Tiffin,Veg,Thin steamed rice flour flatbread,Rice,2 pcs (~100g),180,3,38,1,,,,,,,,"Rice, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Payar Thoran,Kerala (General),Curry,Veg,Cowpea stir-fry with grated coconut,Coconut,1 cup (~150g),130,6,16,5,,,,,,,,"Coconut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Coconut (Shita, cooling, pacifies Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Pazham Pori,Kerala (General),Snack/Sweet,Veg,Deep-fried batter-coated ripe banana fritter,Banana,2 pcs (~120g),280,3,40,12,,,,,,,,"Banana, Sugar, Ghee, Milk/Khoya, Cardamom","Banana (Guru, Shita, grounding); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Pulissery,Kerala (Travancore),Curry,Veg,Yogurt-based mild curry with vegetables,Curd/Yogurt,1 cup (~200g),150,5,14,8,,,,,,,,"Curd/Yogurt, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Curd/Yogurt (Amla, Guru, sour and cooling in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Puliyinji,Kerala (Travancore),Chutney/Side,Veg,Ginger-tamarind-jaggery tangy relish,"Jaggery, Ginger, Tamarind",1 tbsp (~20g),30,0.3,6,0.5,,,,,,,,"Jaggery, Ginger, Tamarind, Green Chilli, Salt, Spices, Oil (tempering)","Jaggery (Ushna, warming sweetness, aids digestion); Ginger (Ushna, kindles Agni, aids digestion); Tamarind (Amla, stimulates Agni); Green Chilli (Ushna, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes); Spices (Balances doshas when eaten fresh and in moderation); Oil (tempering) (Snigdha, unctuous, balances Vata)"
Puttu,Kerala (General),Breakfast/Tiffin,Veg,Steamed rice flour-coconut cylinder,"Rice, Coconut",1 cup (~150g),210,4,42,3,,,,,,,,"Rice, Coconut, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Coconut (Shita, cooling, pacifies Pitta); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Rasam (Kerala style),Kerala (General),Curry/Soup,Veg,Thin tangy pepper-tamarind soup,Tamarind,1 cup (~200g),80,3,11,2,,,,,,,,"Tamarind, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt, Stock/Water, Pepper, Butter/Oil","Tamarind (Amla, stimulates Agni); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Stock/Water (Guru, Ushna, deeply nourishing); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
Sambar (Kerala style),Kerala (General),Curry,Veg,Lentil-vegetable tangy stew,"Lentils, Mixed Vegetables",1 cup (~200g),150,7,20,4,,,,,,,,"Lentils, Mixed Vegetables, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Lentils (Laghu, protein-rich, balances Kapha); Mixed Vegetables (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Sulaimani,Kerala (Malabar),Beverage,Veg,"Spiced black tea with lemon, no milk","Lemon, Milk, Tea Leaves",1 cup (~150ml),40,0,10,0,,,,,,,,"Lemon, Milk, Tea Leaves, Water, Sugar, Ice","Lemon (Amla, alkalising, stimulates Agni); Milk (Guru, Shita, cooling and building, balances Pitta); Tea Leaves (Balances doshas when eaten fresh and in moderation); Water (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation)"
Thenga Chammanthi,Kerala (General),Chutney,Veg,Fresh coconut chutney with shallots & chili,"Coconut, Chili",1/4 cup (~50g),100,2,5,9,,,,,,,,"Coconut, Chili, Green Chilli, Salt, Spices, Oil (tempering)","Coconut (Shita, cooling, pacifies Pitta); Chili (Balances doshas when eaten fresh and in moderation); Green Chilli (Ushna, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes); Spices (Balances doshas when eaten fresh and in moderation); Oil (tempering) (Snigdha, unctuous, balances Vata)"
Thoran,Kerala (General),Curry,Veg,Stir-fried vegetables with grated coconut,Coconut,1 cup (~150g),100,3,10,6,,,,,,,,"Coconut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Coconut (Shita, cooling, pacifies Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Unnakaya,Kerala (Malabar),Sweet,Veg,"Stuffed ripe banana sweet, deep fried",Banana,2 pcs (~90g),260,4,38,11,,,,,,,,"Banana, Sugar, Ghee, Milk/Khoya, Cardamom","Banana (Guru, Shita, grounding); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Unni Appam,Kerala (General),Sweet/Snack,Veg,Deep-fried rice-jaggery-banana sweet dumpling,"Rice, Banana, Jaggery",3 pcs (~90g),280,4,42,11,,,,,,,,"Rice, Banana, Jaggery, Sugar, Ghee, Milk/Khoya, Cardamom","Rice (Laghu, easy to digest, balances Kapha); Banana (Guru, Shita, grounding); Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Uppumavu (Rava Upma),Kerala (General),Breakfast/Tiffin,Veg,Semolina upma with vegetables & tempering,"Semolina, Beans",1 cup (~150g),220,5,30,9,,,,,,,,"Semolina, Beans, Salt, Oil, Mixed Spices","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Vattayappam,Kerala (Central Kerala),Sweet,Veg,Steamed fermented sweet rice cake,Rice,2 pcs (~100g),210,4,42,3,,,,,,,,"Rice, Sugar, Ghee, Milk/Khoya, Cardamom","Rice (Laghu, easy to digest, balances Kapha); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Vellayappam,Kerala (Central Kerala),Breakfast/Tiffin,Veg,Soft fermented rice pancake with coconut milk,"Rice, Coconut, Milk",2 pcs (~120g),220,3,38,6,,,,,,,,"Rice, Coconut, Milk, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Coconut (Shita, cooling, pacifies Pitta); Milk (Guru, Shita, cooling and building, balances Pitta); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Vendakka Mezhukkupuratti,Kerala (General),Curry,Veg,Okra dry stir-fry in coconut oil,"Okra, Coconut",1 cup (~150g),110,3,10,6,,,,,,,,"Okra, Coconut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Okra (Laghu, light, supports digestion); Coconut (Shita, cooling, pacifies Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Alu Vadi (Patra),Maharashtra (General),Snack,Veg,Steamed & fried colocasia leaf rolls with tamarind-jaggery paste,"Colocasia, Jaggery, Tamarind",3 pcs (~120g),190,5,28,6,,,,,,,,"Colocasia, Jaggery, Tamarind, Salt, Oil, Mixed Spices","Colocasia (Balances doshas when eaten fresh and in moderation); Jaggery (Ushna, warming sweetness, aids digestion); Tamarind (Amla, stimulates Agni); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Aluchi Bhaji,Maharashtra (General),Curry,Veg,Colocasia leaves cooked with peanuts & jaggery,"Colocasia, Jaggery, Peanut",1 cup (~150g),180,5,20,9,,,,,,,,"Colocasia, Jaggery, Peanut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Colocasia (Balances doshas when eaten fresh and in moderation); Jaggery (Ushna, warming sweetness, aids digestion); Peanut (Guru, Ushna, energy dense); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Amboli,Maharashtra (Konkan),Breakfast/Tiffin,Veg,Fermented rice-lentil soft thick dosa,Rice,2 pcs (~150g),220,6,36,5,,,,,,,,"Rice, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Ambyachi Dal,Maharashtra (General),Curry/Dal,Veg,"Raw mango cooked with toor dal, summer special","Toor Dal, Mango",1 cup (~200g),160,8,20,5,,,,,,,,"Toor Dal, Mango, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Toor Dal (Laghu, protein-rich, balances Kapha); Mango (Guru, Snigdha, nourishing in season); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Amti,Maharashtra (General),Curry/Dal,Veg,Spiced toor dal curry with kala masala & jaggery,"Toor Dal, Jaggery",1 cup (~200g),170,8,22,5,,,,,,,,"Toor Dal, Jaggery, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Toor Dal (Laghu, protein-rich, balances Kapha); Jaggery (Ushna, warming sweetness, aids digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Anarsa,Maharashtra (General),Sweet,Veg,Deep-fried rice flour-jaggery sweet disc,"Rice, Jaggery",1 piece (~40g),160,1,28,5,,,,,,,,"Rice, Jaggery, Sugar, Ghee, Milk/Khoya, Cardamom","Rice (Laghu, easy to digest, balances Kapha); Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Bangda Fry,Maharashtra (Konkan),Non-Veg,Non-Veg,Shallow-fried spiced mackerel,Mackerel (Bangda Fish),1 serving (~150g),260,20,8,17,,,,,,,,"Mackerel (Bangda Fish), Salt, Oil, Mixed Spices","Mackerel (Bangda Fish) (Guru, Ushna, nourishing, best fresh); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Basundi,Maharashtra (General),Sweet,Veg,Sweetened reduced milk with nuts & saffron,Milk,1 cup (~150g),280,7,28,14,,,,,,,,"Milk, Sugar, Ghee, Milk/Khoya, Cardamom","Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Batata Vada,Maharashtra (General),Snack,Veg,Deep-fried spiced potato fritter,Potato,2 pcs (~120g),260,5,32,12,,,,,,,,"Potato, Salt, Oil, Mixed Spices","Potato (Guru, Vata aggravating in excess); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Batatyachi Bhaji,Maharashtra (General),Curry,Veg,Dry potato curry with mustard & curry leaves,"Potato, Mustard, Curry Leaves",1 cup (~150g),180,3,28,6,,,,,,,,"Potato, Mustard, Curry Leaves, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Potato (Guru, Vata aggravating in excess); Mustard (Balances doshas when eaten fresh and in moderation); Curry Leaves (Ushna, enhances Agni); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Bhadang,Maharashtra (Western Maharashtra),Snack,Veg,Spicy roasted puffed rice with peanuts & garlic,"Rice, Peanut, Garlic",1 cup (~50g),210,4,26,10,,,,,,,,"Rice, Peanut, Garlic, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Peanut (Guru, Ushna, energy dense); Garlic (Ushna, heating, balances Vata and Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Bhakri,Maharashtra (General),Roti/Bread,Veg,Hand-patted jowar/bajra flatbread,"Sorghum, Pearl Millet",1 piece (~60g),130,4,24,1.5,,,,,,,,"Sorghum, Pearl Millet, Wheat Flour, Salt, Water, Oil/Ghee","Sorghum (Balances doshas when eaten fresh and in moderation); Pearl Millet (Balances doshas when eaten fresh and in moderation); Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Water (Balances doshas when eaten fresh and in moderation); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues)"
Bharli Mirchi,Maharashtra (General),Curry,Veg,Stuffed large green chili in peanut-sesame masala,"Peanut, Chili",1 cup (~150g),190,5,14,13,,,,,,,,"Peanut, Chili, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Peanut (Guru, Ushna, energy dense); Chili (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Bharli Vangi,Maharashtra (General),Curry,Veg,Stuffed baby eggplant peanut-coconut curry,"Coconut, Eggplant, Peanut",1 cup (~200g),240,6,20,15,,,,,,,,"Coconut, Eggplant, Peanut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Coconut (Shita, cooling, pacifies Pitta); Eggplant (Laghu, light, supports digestion); Peanut (Guru, Ushna, energy dense); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Bhel Puri,Maharashtra (Mumbai),Snack,Veg,"Puffed rice with chutneys, sev & vegetables",Rice,1 plate (~150g),220,5,36,6,,,,,,,,"Rice, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Bombil Fry (Bombay Duck Fry),Maharashtra (Konkan),Non-Veg,Non-Veg,Rava-coated fried Bombay duck fish,"Semolina, Fish",1 serving (~150g),240,18,10,15,,,,,,,,"Semolina, Fish, Salt, Oil, Mixed Spices","Semolina (Balances doshas when eaten fresh and in moderation); Fish (Guru, Ushna, nourishing, best fresh); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Chana Usal,Maharashtra (General),Curry,Veg,Sprouted black chickpea curry with coconut & goda masala,"Chickpeas, Coconut",1 cup (~150g),190,10,24,6,,,,,,,,"Chickpeas, Coconut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chickpeas (Laghu, grounding, aids digestion); Coconut (Shita, cooling, pacifies Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Chivda,Maharashtra (General),Snack,Veg,Spiced flattened rice mixture with peanuts & sev,"Rice, Peanut",1 cup (~50g),230,4,28,11,,,,,,,,"Rice, Peanut, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Peanut (Guru, Ushna, energy dense); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Dinkache Ladoo,Maharashtra (General),Sweet,Veg,Edible gum-ghee-jaggery winter energy ladoo,"Ghee, Jaggery",2 pcs (~50g),260,3,24,17,,,,,,,,"Ghee, Jaggery, Sugar, Milk/Khoya, Cardamom","Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
